" - Set of %d"," - Lot de %d"
"Specific shipping method to use for imported ShoppingFlux's order","Méthode de livraison à utiliser lors de l'import de commande"
"Step <strong>%s/%s.  %s/%s</strong> product(s)","Etape <strong>%s/%s.  %s/%s</strong> produit(s)"
"Supplier's reference","Référence fournisseur"
"Temporary retention duration","Durée de la rétention temporaire"
"There is no marketplace shipping method registered yet.","Il n'y a pas de méthode de livraison spécifique pour l'instant."
"There was an error while updating product(s) publication","Une erreur est survenue lors du changement de publication"
"Total of %d record(s) were successfully updated","%d enregistrement(s) ont été mis à jour"
"Tracking ID","ID de tracking"
"Transform qty increments products ?","Transformer les produits utilisant des incréments de quantité ?"
"Try to get real shipping fees for each product ?","Essayer de calculer les frais de port rééls pour chaque produit ?"
"Unknown attribute mapping","Mapping des attributs inconnus"
"Update feed on background if needed.","Met à jour le flux en tâche de fond."
"Update stocks and prices in real time. This could slow down price and stock modifications.","Met à jour les stocks et les prix en temps réel. Cette option peut ralentir les modifications de prix/stock."
"Use categories from all stores ?","Utiliser les catégories de tous les magasins ?"
"Use Marketplace Order Date and Time ?","Récupérer la date et l'heure de la commande ?"
"Use only ShoppingFlux category ?","Utiliser uniquement la catégorie ShoppingFlux ?"
"Use only X first category levels","Utiliser uniquement les X premiers niveaux de catégorie"
"Use Product ID's instead of SKU ?","Utiliser l'ID produit au lieu du SKU ?"
"Use ShoppingFlux category attribute ?","Utiliser l'attribut catégorie ShoppingFlux ?"
"Usefull only in case of specific developments.","Utile uniquement dans le cas de développements spécifiques."
"Warranty","Garantie"
"Weight","Poids"
"Will import pending ShoppingFlux orders","Importera les commandes ShoppingFlux en attente"
"Yes","Oui"
"Your feeds","Vos flux"
"Your ShoppingFlux Tracking ID","Votre id de tracking ShoppingFlux"
"Your ShoppingFlux's interface login","Votre login sur l'interface ShoppingFlux"
